Cue,Subject,Count,Collection
['cor'],S15,1,"[""['medicine']""]"
['cor'],S21,4,"[""['instrument']"", ""['orchestre']"", ""['mélodie']"", ""['sonnette']""]"
['cor'],S22,0,[]
['cor'],S23,0,[]
['cor'],S30,6,"[""['musique']"", ""['instrument']"", ""['flûte']"", ""['à', 'vent']"", ""['saxophone']"", ""['guitare']""]"
['cor'],S34,3,"[""['bruit']"", ""['musique']"", ""['pays', 'de', 'nord']""]"
['cor'],S57,6,"[""['trompette']"", ""['musique']"", ""['orchestre']"", ""['grand', 'théâtre']"", ""['champagne']"", ""['musique']""]"
['cor'],S64,7,"[""['saxophone']"", ""['flûte']"", ""['clarinette']"", ""['musique']"", ""['instrument']"", ""['accord']"", ""['jazz']""]"
['cor'],S65,0,[]
['cor'],S67,0,[]
['corail'],S7,4,"[""['mer']"", ""['beauté']"", ""['poisson']"", ""['vie']""]"
['corail'],S12,9,"[""['mer']"", ""['pollution']"", ""['snorkeling']"", ""['mort']"", ""['poisson']"", ""['méduse']"", ""['algue']"", ""['soleil']"", ""['vacance']""]"
['corail'],S15,4,"[""['mer']"", ""['poisson']"", ""['vie', 'marine']"", ""['chauffement', 'climatique']""]"
['corail'],S21,3,"[""['multicellulaire']"", ""['vivant']"", ""['réchauffement']""]"
['corail'],S22,2,"[""['eau']"", ""['couleur']""]"
['corail'],S23,4,"[""['sou', 'marin']"", ""['aquatique']"", ""['végétal']"", ""['inanimé']""]"
['corail'],S30,8,"[""['poisson']"", ""['némo']"", ""['couleur']"", ""['mer']"", ""['océan']"", ""['plonger']"", ""['nager']"", ""['casser']""]"
